"","taxa","q","Parameter","Eta2_partial","CI","CI_low","CI_high"
"185","HYOS",1,"temperature:temp_spike",0.666392321380344,0.95,0.661802695793637,1
"186","HYOS",1,"temperature:hydropeaking",0.207511544413004,0.95,0.200497596239886,1
"187","HYOS",1,"temperature:HFE",0.869267533507902,0.95,0.867375105635059,1
"188","HYOS",1,"temp_spike:hydropeaking",0.0194023249774375,0.95,0.0167215024703035,1
"189","HYOS",1,"temp_spike:HFE",0.0842052610235471,0.95,0.0789566979785439,1
"190","HYOS",1,"hydropeaking:HFE",0.120290002753327,0.95,0.114296398405169,1
"191","HYOS",1,"temperature:temp_spike:hydropeaking",0.0232906429359285,0.95,0.0202859720433365,1
"192","HYOS",1,"temperature:temp_spike:HFE",0.0219263451616073,0.95,0.0190071262596406,1
"193","HYOS",1,"temperature:hydropeaking:HFE",0.0903004487365431,0.95,0.0848420613780288,1
"194","HYOS",1,"temp_spike:hydropeaking:HFE",6.30477235740689e-05,0.95,0,1
"195","HYOS",1,"temperature:temp_spike:hydropeaking:HFE",6.11549486577377e-05,0.95,0,1
"196","HYOS",2,"temperature",0.990946508148658,0.95,0.991762773256489,1
"197","HYOS",2,"temp_spike",0.908641256388806,0.95,0.907313586343395,1
"198","HYOS",2,"hydropeaking",0.691441005108781,0.95,0.687164785447577,1
"199","HYOS",2,"HFE",0.904757311544415,0.95,0.903373730391458,1
"200","HYOS",2,"temperature:temp_spike",0.886113725514146,0.95,0.884461701710473,1
"201","HYOS",2,"temperature:hydropeaking",0.50043257723442,0.95,0.49412412772997,1
"202","HYOS",2,"temperature:HFE",0.954027058127459,0.95,0.953356561154944,1
"203","HYOS",2,"temp_spike:hydropeaking",0.00112332390750161,0.95,0.000543825337822834,1
"204","HYOS",2,"temp_spike:HFE",0.0411696175403475,0.95,0.0373215490334191,1
"205","HYOS",2,"hydropeaking:HFE",0.0582003794705507,0.95,0.0537038109478917,1
"206","HYOS",2,"temperature:temp_spike:hydropeaking",0.0277088932550862,0.95,0.0244463624987132,1
"207","HYOS",2,"temperature:temp_spike:HFE",0.132009230493778,0.95,0.125769028378523,1
"208","HYOS",2,"temperature:hydropeaking:HFE",0.0520110306332284,0.95,0.0476638162579851,1
"209","HYOS",2,"temp_spike:hydropeaking:HFE",0.000160600745566486,0.95,3.36249144224125e-06,1
"210","HYOS",2,"temperature:temp_spike:hydropeaking:HFE",6.6109913807812e-05,0.95,0,1
"211","HYOS",4,"temperature",0.9967867728502,0.95,0.997078030868314,1
"212","HYOS",4,"temp_spike",0.95946354527395,0.95,0.958872333676696,1
"213","HYOS",4,"hydropeaking",0.811005712236322,0.95,0.808298923707939,1
"214","HYOS",4,"HFE",0.984489586238209,0.95,0.984263168697002,1
"215","HYOS",4,"temperature:temp_spike",0.943368917242381,0.95,0.942543415142147,1
"216","HYOS",4,"temperature:hydropeaking",0.414577192327618,0.95,0.407664798203322,1
"217","HYOS",4,"temperature:HFE",0.98415625868794,0.95,0.983924967160173,1
"218","HYOS",4,"temp_spike:hydropeaking",0.621139850769774,0.95,0.61603561498003,1
"219","HYOS",4,"temp_spike:HFE",0.199225257686948,0.95,0.192316114831812,1
"220","HYOS",4,"hydropeaking:HFE",0.704945781486169,0.95,0.70083777292399,1
"221","HYOS",4,"temperature:temp_spike:hydropeaking",0.304082325662469,0.95,0.296815416891259,1
"222","HYOS",4,"temperature:temp_spike:HFE",0.644732763597915,0.95,0.63988688161158,1
"223","HYOS",4,"temperature:hydropeaking:HFE",0.525816908790565,0.95,0.51972985216563,1
"224","HYOS",4,"temp_spike:hydropeaking:HFE",0.00192958777654443,0.95,0.00113836552757794,1
"225","HYOS",4,"temperature:temp_spike:hydropeaking:HFE",0.00688545999379028,0.95,0.00530683391938702,1
"226","HYOS",8,"temperature",0.994221590722789,0.95,0.994744139701453,1
"227","HYOS",8,"temp_spike",0.956435684926181,0.95,0.955800401094185,1
"228","HYOS",8,"hydropeaking",0.922430970925405,0.95,0.921302303655342,1
"229","HYOS",8,"HFE",0.986612512529319,0.95,0.986416586694744,1
"230","HYOS",8,"temperature:temp_spike",0.958380234940166,0.95,0.957773115804229,1
"231","HYOS",8,"temperature:hydropeaking",0.806160393405525,0.95,0.803384007720996,1
"232","HYOS",8,"temperature:HFE",0.975663513780241,0.95,0.975308319986915,1
"233","HYOS",8,"temp_spike:hydropeaking",0.137175322679373,0.95,0.130916972879273,1
"234","HYOS",8,"temp_spike:HFE",0.659213279030774,0.95,0.654547000612037,1
"235","HYOS",8,"hydropeaking:HFE",0.0218951981297902,0.95,0.0190495023791714,1
"236","HYOS",8,"temperature:temp_spike:hydropeaking",0.614123601108551,0.95,0.608929872956385,1
"237","HYOS",8,"temperature:temp_spike:HFE",0.706058360448736,0.95,0.70195750598118,1
"238","HYOS",8,"temperature:hydropeaking:HFE",0.476764889747556,0.95,0.470266459675387,1
