"StageGroup","Abundance","Biomass","Parameter","SensitivityIncrement","TemperatureFactor","Increment"
"S1_CHIR",51.6678862701446,8.50557616488894,"TempSurvival_BAET",-0.008,1,-0.008
"S2_CHIR",9.7249447604561,9.20009384180278,"TempSurvival_BAET",-0.008,1,-0.008
"S3_CHIR",4.47409106136805,3.91118843942272,"TempSurvival_BAET",-0.008,1,-0.008
"S1_GAMM",36.5566172018592,106.407644678371,"TempSurvival_BAET",-0.008,1,-0.008
"S2_GAMM",18.302194925113,192.063612807412,"TempSurvival_BAET",-0.008,1,-0.008
"S3_GAMM",5.3547696156537,109.70009801016,"TempSurvival_BAET",-0.008,1,-0.008
"S1_HYOS",49.223651856515,398.346348456742,"TempSurvival_CHIR",-0.008,1,-0.008
"S2_HYOS",13.6281855705926,198.989501196344,"TempSurvival_CHIR",-0.008,1,-0.008
"S3_HYOS",0.767973252537933,10.6201816735997,"TempSurvival_CHIR",-0.008,1,-0.008
"S1_BAET",54.4687435527859,1.21775569322339,"TempSurvival_CHIR",-0.008,1,-0.008
"S2_BAET",9.40679151831514,1.48779915886018,"TempSurvival_CHIR",-0.008,1,-0.008
"S3_BAET",2.27895135141204,0.293623491560187,"TempSurvival_CHIR",-0.008,1,-0.008
"S1_NZMS",18748.8310333352,1673.52516951986,"TempSurvival_CHIR",-0.008,1,-0.008
"S2_NZMS",7494.38459514486,3376.101560192,"TempSurvival_CHIR",-0.008,1,-0.008
"S3_NZMS",4282.33767671436,3785.22253842221,"TempSurvival_CHIR",-0.008,1,-0.008
"S1_CHIR",51.6651856906207,8.50452650498612,"TempSurvival_CHIR",-0.008,1,-0.008
"S2_CHIR",9.72527996480667,9.20090438760848,"TempSurvival_CHIR",-0.008,1,-0.008
"S3_CHIR",4.47478900302484,3.91300627740126,"TempSurvival_CHIR",-0.008,1,-0.008
"S1_GAMM",36.5558965718613,106.405547095317,"TempSurvival_CHIR",-0.008,1,-0.008
"S2_GAMM",18.2996109460823,192.036496477918,"TempSurvival_CHIR",-0.008,1,-0.008
"S3_GAMM",5.35426104641992,109.689679243566,"TempSurvival_CHIR",-0.008,1,-0.008
"S1_HYOS",49.2369087017149,398.491050905169,"TempSurvival_NZMS",-0.008,1,-0.008
"S2_HYOS",13.6346048770105,199.088094859364,"TempSurvival_NZMS",-0.008,1,-0.008
"S3_HYOS",0.76687582331176,10.6041296931349,"TempSurvival_NZMS",-0.008,1,-0.008
"S1_BAET",54.502048342404,1.21900196608027,"TempSurvival_NZMS",-0.008,1,-0.008
"S2_BAET",9.40920282414928,1.48844967649762,"TempSurvival_NZMS",-0.008,1,-0.008
"S3_BAET",2.27667511506795,0.293347731055289,"TempSurvival_NZMS",-0.008,1,-0.008
"S1_NZMS",18747.9673896431,1673.44808047608,"TempSurvival_NZMS",-0.008,1,-0.008
"S2_NZMS",7494.15609994725,3375.9986267245,"TempSurvival_NZMS",-0.008,1,-0.008
"S3_NZMS",4282.18571211959,3785.08821463632,"TempSurvival_NZMS",-0.008,1,-0.008
"S1_CHIR",51.6643558077017,8.50420375480288,"TempSurvival_NZMS",-0.008,1,-0.008
"S2_CHIR",9.72538310460685,9.20115378631791,"TempSurvival_NZMS",-0.008,1,-0.008
"S3_CHIR",4.47500375430384,3.91356561216387,"TempSurvival_NZMS",-0.008,1,-0.008
"S1_GAMM",36.5553640972039,106.403997187845,"TempSurvival_NZMS",-0.008,1,-0.008
"S2_GAMM",18.2989602009234,192.029667544736,"TempSurvival_NZMS",-0.008,1,-0.008
"S3_GAMM",5.35413011159477,109.6869968568,"TempSurvival_NZMS",-0.008,1,-0.008
"S1_HYOS",49.17721171194,397.839269951283,"TempSurvival_GAMM",-0.008,1,-0.008
"S2_HYOS",13.6057072623767,198.643863422274,"TempSurvival_GAMM",-0.008,1,-0.008
"S3_HYOS",0.771975893149119,10.6781191362173,"TempSurvival_GAMM",-0.008,1,-0.008
"S1_BAET",54.3519669807746,1.21339968964967,"TempSurvival_GAMM",-0.008,1,-0.008
"S2_BAET",9.39836411996174,1.48552439602401,"TempSurvival_GAMM",-0.008,1,-0.008
"S3_BAET",2.28711707707189,0.294613114809501,"TempSurvival_GAMM",-0.008,1,-0.008
"S1_NZMS",18751.8786348148,1673.79719916126,"TempSurvival_GAMM",-0.008,1,-0.008
"S2_NZMS",7495.18995560079,3376.46436232168,"TempSurvival_GAMM",-0.008,1,-0.008
"S3_NZMS",4282.86896464536,3785.69215179758,"TempSurvival_GAMM",-0.008,1,-0.008
"S1_CHIR",51.6681579665345,8.50567553292278,"TempSurvival_GAMM",-0.008,1,-0.008
"S2_CHIR",9.72491726451623,9.20002946545836,"TempSurvival_GAMM",-0.008,1,-0.008
"S3_CHIR",4.47404036221107,3.91104960271733,"TempSurvival_GAMM",-0.008,1,-0.008
"S1_GAMM",36.5568960349071,106.408456295259,"TempSurvival_GAMM",-0.008,1,-0.008
"S2_GAMM",18.3023268626869,192.064997363046,"TempSurvival_GAMM",-0.008,1,-0.008
"S3_GAMM",5.35481056584075,109.700936933186,"TempSurvival_GAMM",-0.008,1,-0.008
"S1_HYOS",49.256812743111,398.708199843347,"TempSurvival_HYOS",-0.007,1,-0.007
"S2_HYOS",13.6443333988111,199.237354258029,"TempSurvival_HYOS",-0.007,1,-0.007
"S3_HYOS",0.765151188869449,10.5791677651451,"TempSurvival_HYOS",-0.007,1,-0.007
"S1_BAET",54.5526864237406,1.22088740441014,"TempSurvival_HYOS",-0.007,1,-0.007
"S2_BAET",9.41283714858837,1.48943576110881,"TempSurvival_HYOS",-0.007,1,-0.007
"S3_BAET",2.27309461944557,0.292913609663362,"TempSurvival_HYOS",-0.007,1,-0.007
"S1_NZMS",18746.6620288921,1673.33156366135,"TempSurvival_HYOS",-0.007,1,-0.007
"S2_NZMS",7493.81486360867,3375.84490515865,"TempSurvival_HYOS",-0.007,1,-0.007
"S3_NZMS",4281.95439235585,3784.8837476257,"TempSurvival_HYOS",-0.007,1,-0.007
"S1_CHIR",51.6630516234735,8.50370164161079,"TempSurvival_HYOS",-0.007,1,-0.007
"S2_CHIR",9.72553781430711,9.20152788438208,"TempSurvival_HYOS",-0.007,1,-0.007
"S3_CHIR",4.47532588122234,3.91440461430781,"TempSurvival_HYOS",-0.007,1,-0.007
"S1_GAMM",36.5549026405509,106.402653996945,"TempSurvival_HYOS",-0.007,1,-0.007
"S2_GAMM",18.2977346716322,192.016806814958,"TempSurvival_HYOS",-0.007,1,-0.007
"S3_GAMM",5.35389546080547,109.682189700483,"TempSurvival_HYOS",-0.007,1,-0.007
"S1_HYOS",49.2335228049869,398.454027033186,"TempSurvival_BAET",-0.007,1,-0.007
"S2_HYOS",13.6329430509441,199.062540394608,"TempSurvival_BAET",-0.007,1,-0.007
"S3_HYOS",0.767183033555364,10.6085377450299,"TempSurvival_BAET",-0.007,1,-0.007
"S1_BAET",54.4931205480994,1.21867142867934,"TempSurvival_BAET",-0.007,1,-0.007
"S2_BAET",9.40855857771471,1.48827748990733,"TempSurvival_BAET",-0.007,1,-0.007
"S3_BAET",2.27731232483462,0.293424736784126,"TempSurvival_BAET",-0.007,1,-0.007
"S1_NZMS",18748.1904641359,1673.46799215899,"TempSurvival_BAET",-0.007,1,-0.007
