"StageGroup","Abundance","Parameter","SensitivityIncrement"
"S1_CHIR",51.3469694733174,"G2_NZMS",-0.008
"S2_CHIR",9.80697234601779,"G2_NZMS",-0.008
"S3_CHIR",4.38815752734488,"G2_NZMS",-0.008
"S1_GAMM",35.689527030169,"G2_NZMS",-0.008
"S2_GAMM",18.3096818709462,"G2_NZMS",-0.008
"S3_GAMM",5.39670868423435,"G2_NZMS",-0.008
"S1_HYOS",49.444366849617,"G2_GAMM",-0.008
"S2_HYOS",13.7371484433011,"G2_GAMM",-0.008
"S3_HYOS",0.755499334609189,"G2_GAMM",-0.008
"S1_BAET",58.4746323105038,"G2_GAMM",-0.008
"S2_BAET",9.75955887700084,"G2_GAMM",-0.008
"S3_BAET",2.03098174042095,"G2_GAMM",-0.008
"S1_NZMS",18795.2812978948,"G2_GAMM",-0.008
"S2_NZMS",7507.5562125525,"G2_GAMM",-0.008
"S3_NZMS",4293.66612922346,"G2_GAMM",-0.008
"S1_CHIR",50.8166954073575,"G2_GAMM",-0.008
"S2_CHIR",9.79741453457056,"G2_GAMM",-0.008
"S3_CHIR",4.41488178455586,"G2_GAMM",-0.008
"S1_GAMM",35.95168290242,"G2_GAMM",-0.008
"S2_GAMM",17.9462567549717,"G2_GAMM",-0.008
"S3_GAMM",5.15588941507545,"G2_GAMM",-0.008
"S1_HYOS",49.0345232372642,"G2_CHIR",-0.008
"S2_HYOS",13.5134324142473,"G2_CHIR",-0.008
"S3_HYOS",0.79215260559896,"G2_CHIR",-0.008
"S1_BAET",54.9928201573183,"G2_CHIR",-0.008
"S2_BAET",9.44868833933044,"G2_CHIR",-0.008
"S3_BAET",2.27209838324392,"G2_CHIR",-0.008
"S1_NZMS",18772.4551307501,"G2_CHIR",-0.008
"S2_NZMS",7501.19090893899,"G2_CHIR",-0.008
"S3_NZMS",4289.88552376523,"G2_CHIR",-0.008
"S1_CHIR",51.6787900256776,"G2_CHIR",-0.008
"S2_CHIR",9.72508725635558,"G2_CHIR",-0.008
"S3_CHIR",4.46202522969539,"G2_CHIR",-0.008
"S1_GAMM",36.5594170319642,"G2_CHIR",-0.008
"S2_GAMM",18.3113704440167,"G2_CHIR",-0.008
"S3_GAMM",5.35775358590194,"G2_CHIR",-0.008
"S1_HYOS",57.1989409574602,"G1_HYOS",-0.007
"S2_HYOS",8.47236356410238,"G1_HYOS",-0.007
"S3_HYOS",0.980885970983696,"G1_HYOS",-0.007
